cliente_id,fecha,producto,categoria,monto,canal,descuento_aplicado
PREM_0007,2025-12-01,Gaming Mouse,Smartphones,365.18,Tienda,0
PREM_0007,2025-12-08,Webcam HD,Smartphones,364.42,Tienda,10
PREM_0007,2025-11-24,Monitor 4K,Smartphones,214.83,Tienda,20
PREM_0007,2025-11-23,AirPods,Smartphones,366.74,App,0
PREM_0007,2025-12-12,MacBook Pro,Smartphones,246.06,Tienda,20
PREM_0007,2025-11-19,Gaming Mouse,Smartphones,230.3,Tienda,0
PREM_0008,2025-12-09,Monitor 4K,Accesorios,470.06,Online,10
PREM_0008,2025-11-16,AirPods,Laptops,354.57,Online,5
PREM_0008,2025-11-08,AirPods,Laptops,328.95,Online,5
PREM_0008,2025-12-11,Monitor 4K,Gaming,555.7,Online,0
PREM_0008,2025-12-02,Mechanical Keyboard,Gaming,173.11,Tienda,15
PREM_0008,2025-11-08,MacBook Pro,Gaming,364.5,Online,0
PREM_0008,2025-11-30,iPhone 14,Accesorios,279.84,Tienda,10
PREM_0008,2025-11-09,MacBook Pro,Accesorios,365.07,Online,10
PREM_0008,2025-11-28,Gaming Mouse,Laptops,166.03,App,5
PREM_0009,2025-12-11,Laptop Bag,Smartphones,201.97,Online,15
PREM_0009,2025-11-27,iPad,Smartphones,738.93,Online,10
PREM_0009,2025-12-07,MacBook Pro,Smartphones,498.51,Online,10
PREM_0009,2025-11-23,iPad,Smartphones,328.6,Tienda,5
PREM_0009,2025-11-27,Monitor 4K,Smartphones,257.93,Online,0
PREM_0009,2025-11-16,MacBook Pro,Smartphones,361.92,Tienda,15
PREM_0009,2025-12-04,Laptop Bag,Gaming,201.76,Online,0
PREM_0009,2025-11-18,Webcam HD,Smartphones,449.27,Online,10
PREM_0009,2025-11-27,Mechanical Keyboard,Smartphones,142.78,Online,0
PREM_0009,2025-11-15,Gaming Mouse,Smartphones,375.19,Online,0
PREM_0010,2025-12-07,Monitor 4K,Laptops,164.75,Online,0
PREM_0010,2025-12-01,Monitor 4K,Laptops,283.1,Online,0
PREM_0010,2025-11-13,MacBook Pro,Laptops,327.6,Online,15
PREM_0010,2025-11-19,Mechanical Keyboard,Gaming,300.26,Online,15
PREM_0010,2025-11-16,Webcam HD,Accesorios,132.67,Tienda,5
PREM_0010,2025-11-21,MacBook Pro,Laptops,518.18,Online,0
PREM_0010,2025-11-29,Webcam HD,Laptops,459.42,Online,15
PREM_0011,2025-11-06,Webcam HD,Gaming,264.03,Online,0
PREM_0011,2025-12-06,Monitor 4K,Gaming,367.21,App,0
PREM_0011,2025-11-18,Monitor 4K,Gaming,326.26,Online,0
PREM_0011,2025-11-29,Mechanical Keyboard,Gaming,235.62,Online,0
PREM_0011,2025-11-28,Monitor 4K,Gaming,319.0,Online,10
PREM_0011,2025-11-26,iPhone 14,Gaming,245.94,Online,5
PREM_0011,2025-11-16,Smartphone Case,Accesorios,223.3,Online,10
PREM_0011,2025-11-27,Monitor 4K,Gaming,287.61,Online,5
PREM_0011,2025-11-27,MacBook Pro,Gaming,275.23,Online,0
PREM_0011,2025-11-14,AirPods,Gaming,263.03,Online,0
PREM_0011,2025-11-26,Webcam HD,Gaming,276.31,App,5
PREM_0011,2025-11-28,Mechanical Keyboard,Accesorios,332.44,App,0
PREM_0012,2025-12-12,iPad,Accesorios,212.55,Online,10
PREM_0012,2025-11-16,Laptop Bag,Smartphones,411.88,Online,10
PREM_0012,2025-11-09,MacBook Pro,Smartphones,363.39,Online,5
PREM_0012,2025-11-18,Monitor 4K,Laptops,293.47,Online,5
PREM_0012,2025-11-19,Monitor 4K,Laptops,341.55,Online,0
PREM_0012,2025-11-13,iPhone 14,Smartphones,279.32,Online,0
PREM_0012,2025-11-11,AirPods,Smartphones,552.8,Tienda,10
PREM_0012,2025-11-18,MacBook Pro,Accesorios,347.86,App,0
PREM_0013,2025-11-10,Laptop Bag,Smartphones,253.08,Tienda,0
PREM_0013,2025-11-10,iPad,Gaming,224.95,Tienda,10
PREM_0013,2025-10-29,Monitor 4K,Smartphones,428.91,Online,5
PREM_0013,2025-12-07,AirPods,Laptops,395.3,Online,0
PREM_0013,2025-11-22,Gaming Mouse,Smartphones,402.8,Tienda,5
PREM_0013,2025-12-10,Laptop Bag,Smartphones,355.54,Tienda,10
PREM_0013,2025-10-29,MacBook Pro,Gaming,583.81,App,10
PREM_0013,2025-11-25,AirPods,Gaming,299.08,Tienda,0
PREM_0014,2025-11-13,Smartphone Case,Laptops,279.67,Tienda,15
PREM_0014,2025-11-24,Smartphone Case,Accesorios,175.69,Tienda,0
PREM_0014,2025-12-07,Gaming Mouse,Accesorios,382.93,Tienda,5
PREM_0014,2025-11-24,Webcam HD,Accesorios,496.95,Online,10
PREM_0014,2025-10-30,iPad,Laptops,219.22,Tienda,10
PREM_0014,2025-11-27,Smartphone Case,Accesorios,325.53,Tienda,0
PREM_0014,2025-11-01,Monitor 4K,Accesorios,165.45,Online,10
PREM_0014,2025-11-18,Monitor 4K,Accesorios,424.83,Tienda,0
PREM_0014,2025-11-20,Smartphone Case,Accesorios,269.36,Tienda,0
PREM_0014,2025-12-14,Mechanical Keyboard,Accesorios,367.63,Tienda,10
PREM_0015,2025-11-17,Gaming Mouse,Accesorios,275.61,Online,5
PREM_0015,2025-12-04,Smartphone Case,Accesorios,392.98,Online,5
PREM_0015,2025-11-10,Laptop Bag,Accesorios,297.28,Online,0
PREM_0015,2025-11-07,iPad,Accesorios,176.4,Online,0
PREM_0015,2025-11-13,Mechanical Keyboard,Accesorios,114.63,Tienda,5
PREM_0015,2025-11-07,Laptop Bag,Accesorios,193.23,App,5
PREM_0015,2025-12-10,AirPods,Accesorios,112.28,Online,0
PREM_0015,2025-11-18,Smartphone Case,Accesorios,218.8,Online,5
PREM_0015,2025-11-14,iPhone 14,Accesorios,386.88,App,5
PREM_0015,2025-12-10,Smartphone Case,Accesorios,434.66,Online,0
PREM_0015,2025-11-16,iPhone 14,Accesorios,96.41,Online,20
PREM_0015,2025-11-16,MacBook Pro,Accesorios,171.62,Online,5
PREM_0015,2025-12-13,AirPods,Accesorios,221.52,Online,0
PREM_0015,2025-11-24,Webcam HD,Smartphones,133.79,Online,20
PREM_0015,2025-11-18,Webcam HD,Laptops,205.83,Online,15
PREM_0016,2025-11-13,Smartphone Case,Gaming,266.28,App,0
PREM_0016,2025-12-04,Mechanical Keyboard,Smartphones,238.02,Online,5
PREM_0016,2025-12-08,iPhone 14,Laptops,290.62,Tienda,5
PREM_0016,2025-12-11,Webcam HD,Laptops,375.74,Tienda,5
PREM_0016,2025-11-23,AirPods,Laptops,250.05,Tienda,0
PREM_0016,2025-12-03,iPad,Smartphones,170.33,Tienda,0
PREM_0016,2025-11-17,iPad,Laptops,166.98,Tienda,0
PREM_0016,2025-11-20,MacBook Pro,Laptops,254.25,Tienda,0
PREM_0016,2025-12-01,MacBook Pro,Laptops,83.79,App,5
PREM_0016,2025-11-23,Mechanical Keyboard,Laptops,258.78,Tienda,0
PREM_0017,2025-12-10,Smartphone Case,Accesorios,288.75,Online,0
PREM_0017,2025-12-11,MacBook Pro,Accesorios,200.84,Tienda,0
PREM_0017,2025-12-14,iPhone 14,Laptops,321.94,Online,0
PREM_0017,2025-12-09,iPhone 14,Accesorios,195.15,Online,15
PREM_0017,2025-11-22,Laptop Bag,Accesorios,277.27,Online,0
PREM_0017,2025-12-13,Laptop Bag,Laptops,222.29,Online,10
PREM_0017,2025-11-27,MacBook Pro,Laptops,331.11,Online,15
PREM_0017,2025-12-10,Webcam HD,Laptops,308.73,App,0
PREM_0017,2025-12-06,MacBook Pro,Accesorios,265.19,Online,10
PREM_0017,2025-12-06,Gaming Mouse,Accesorios,164.89,App,10
PREM_0017,2025-11-29,Smartphone Case,Laptops,162.41,Online,0
PREM_0018,2025-11-25,Laptop Bag,Accesorios,413.05,Tienda,5
PREM_0018,2025-11-11,AirPods,Accesorios,542.22,Tienda,5
PREM_0018,2025-10-29,Mechanical Keyboard,Accesorios,869.29,Tienda,10
PREM_0018,2025-11-04,AirPods,Accesorios,704.72,Tienda,0
PREM_0018,2025-11-12,Mechanical Keyboard,Accesorios,389.79,Tienda,5
PREM_0018,2025-11-25,Mechanical Keyboard,Accesorios,787.86,Tienda,5
PREM_0018,2025-12-04,Smartphone Case,Accesorios,589.49,Online,10
PREM_0019,2025-11-21,Mechanical Keyboard,Laptops,205.61,Tienda,0
PREM_0019,2025-10-29,AirPods,Laptops,445.0,App,10
PREM_0019,2025-12-08,Mechanical Keyboard,Laptops,379.2,App,5
PREM_0019,2025-11-24,Monitor 4K,Smartphones,203.19,App,20
PREM_0019,2025-12-07,iPhone 14,Laptops,423.37,App,0
PREM_0019,2025-11-30,Laptop Bag,Laptops,255.43,App,0
PREM_0019,2025-11-05,Gaming Mouse,Accesorios,160.32,App,0
PREM_0019,2025-11-08,iPad,Laptops,233.68,App,5
PREM_0019,2025-12-06,AirPods,Laptops,283.15,App,0
PREM_0019,2025-11-03,iPad,Laptops,328.05,App,10
PREM_0020,2025-12-04,iPhone 14,Smartphones,145.78,Online,5
PREM_0020,2025-11-17,MacBook Pro,Laptops,146.64,Online,5
PREM_0020,2025-12-01,MacBook Pro,Laptops,190.28,Tienda,15
PREM_0020,2025-12-02,AirPods,Laptops,398.48,App,5
PREM_0020,2025-12-07,Laptop Bag,Laptops,399.46,Online,10
PREM_0020,2025-11-26,Smartphone Case,Smartphones,223.5,Online,0
PREM_0020,2025-12-09,Webcam HD,Gaming,288.79,App,0
PREM_0020,2025-11-28,MacBook Pro,Laptops,177.51,Online,10
PREM_0020,2025-11-25,AirPods,Laptops,328.48,Online,10
PREM_0020,2025-12-05,Gaming Mouse,Smartphones,311.63,Online,5
PREM_0021,2025-12-11,Webcam HD,Gaming,195.51,App,0
PREM_0021,2025-11-26,iPad,Smartphones,247.79,Tienda,5
PREM_0021,2025-11-27,AirPods,Accesorios,158.45,Tienda,10
PREM_0021,2025-11-16,Laptop Bag,Smartphones,205.29,Tienda,10
PREM_0021,2025-11-14,Gaming Mouse,Laptops,349.83,Tienda,5
PREM_0021,2025-12-06,iPad,Smartphones,93.32,Tienda,5
PREM_0021,2025-12-03,Mechanical Keyboard,Smartphones,177.53,Tienda,5
PREM_0021,2025-12-13,Gaming Mouse,Smartphones,118.96,App,10
PREM_0021,2025-11-27,Gaming Mouse,Smartphones,197.29,Tienda,5
PREM_0021,2025-12-13,Monitor 4K,Smartphones,169.6,Tienda,10
PREM_0021,2025-11-15,Laptop Bag,Smartphones,144.6,Tienda,15
PREM_0021,2025-12-12,Gaming Mouse,Gaming,195.77,Tienda,15
PREM_0021,2025-11-08,Mechanical Keyboard,Gaming,147.07,App,10
PREM_0021,2025-11-16,Mechanical Keyboard,Smartphones,255.44,Tienda,10
PREM_0022,2025-11-13,Laptop Bag,Gaming,367.93,App,0
PREM_0022,2025-12-08,iPhone 14,Smartphones,318.78,Online,10
PREM_0022,2025-12-13,Laptop Bag,Accesorios,187.0,Online,0
PREM_0022,2025-12-09,AirPods,Laptops,374.1,Online,0
PREM_0022,2025-11-09,Monitor 4K,Gaming,362.78,Tienda,5
PREM_0022,2025-12-02,iPhone 14,Laptops,417.13,Tienda,5
PREM_0022,2025-12-01,Monitor 4K,Smartphones,482.24,Online,0
PREM_0022,2025-11-29,MacBook Pro,Smartphones,518.12,Online,5
PREM_0022,2025-11-27,Smartphone Case,Laptops,134.76,Tienda,0
PREM_0022,2025-12-14,Monitor 4K,Smartphones,288.4,Tienda,0
PREM_0023,2025-12-13,Monitor 4K,Smartphones,209.7,Online,0
PREM_0023,2025-11-18,AirPods,Accesorios,442.9,Online,15
PREM_0023,2025-12-08,Laptop Bag,Smartphones,444.73,Online,10
PREM_0023,2025-12-13,Webcam HD,Smartphones,724.76,App,0
PREM_0023,2025-12-10,Monitor 4K,Smartphones,300.26,Tienda,0
PREM_0023,2025-11-26,AirPods,Smartphones,263.31,Tienda,10
PREM_0023,2025-12-14,iPhone 14,Smartphones,440.89,Online,10
PREM_0023,2025-11-18,MacBook Pro,Smartphones,235.84,Online,0
PREM_0023,2025-11-05,iPad,Laptops,407.7,Online,10
PREM_0023,2025-12-09,Gaming Mouse,Smartphones,665.9,Online,10
PREM_0023,2025-11-09,MacBook Pro,Accesorios,164.59,App,0
PREM_0024,2025-11-10,Mechanical Keyboard,Laptops,220.79,Online,5
PREM_0024,2025-11-22,Smartphone Case,Laptops,167.83,Online,0
PREM_0024,2025-10-31,Gaming Mouse,Gaming,572.11,Tienda,5
PREM_0024,2025-12-04,Webcam HD,Laptops,381.87,Online,5
PREM_0024,2025-11-10,Laptop Bag,Gaming,419.33,App,0
PREM_0024,2025-12-03,AirPods,Laptops,518.32,Online,15
PREM_0024,2025-11-08,iPad,Smartphones,237.64,Online,15
PREM_0024,2025-11-20,Monitor 4K,Laptops,430.68,Online,15
PREM_0025,2025-12-07,Laptop Bag,Accesorios,224.53,Online,0
PREM_0025,2025-12-04,Webcam HD,Gaming,317.47,Online,0
PREM_0025,2025-11-18,Monitor 4K,Laptops,479.69,Online,10
PREM_0025,2025-11-17,Mechanical Keyboard,Gaming,406.86,Online,0
PREM_0025,2025-12-03,Monitor 4K,Accesorios,355.28,Online,10
PREM_0025,2025-11-26,Smartphone Case,Gaming,698.68,Online,5
PREM_0025,2025-11-13,Monitor 4K,Gaming,278.62,Online,5
PREM_0025,2025-11-14,Mechanical Keyboard,Gaming,584.61,Online,10
PREM_0025,2025-11-22,MacBook Pro,Gaming,594.64,Online,0
PREM_0026,2025-11-26,Mechanical Keyboard,Smartphones,150.82,Online,5
PREM_0026,2025-11-23,Laptop Bag,Smartphones,71.27,Tienda,0
PREM_0026,2025-12-04,MacBook Pro,Gaming,149.98,App,0
PREM_0026,2025-12-13,Smartphone Case,Laptops,96.84,Tienda,15
PREM_0026,2025-12-07,AirPods,Gaming,353.73,App,0
PREM_0026,2025-11-25,AirPods,Smartphones,153.09,Tienda,15
PREM_0026,2025-11-28,Mechanical Keyboard,Smartphones,145.79,Tienda,10
PREM_0026,2025-11-19,Mechanical Keyboard,Smartphones,155.46,Tienda,5
PREM_0026,2025-11-27,Mechanical Keyboard,Smartphones,231.25,Tienda,0
PREM_0026,2025-12-09,Mechanical Keyboard,Smartphones,189.95,Tienda,0
PREM_0026,2025-12-11,iPhone 14,Gaming,97.96,Tienda,5
PREM_0026,2025-11-15,Monitor 4K,Accesorios,156.35,Tienda,0
PREM_0027,2025-11-13,Smartphone Case,Smartphones,124.13,App,10
PREM_0027,2025-12-01,Laptop Bag,Smartphones,454.08,App,0
PREM_0027,2025-12-04,Gaming Mouse,Smartphones,336.66,App,5
PREM_0027,2025-10-28,Mechanical Keyboard,Smartphones,382.75,Online,5
PREM_0027,2025-11-04,iPhone 14,Smartphones,254.8,App,5
PREM_0027,2025-10-28,iPhone 14,Laptops,267.79,App,15
PREM_0027,2025-12-06,AirPods,Smartphones,294.21,App,10
PREM_0027,2025-11-10,Mechanical Keyboard,Gaming,279.82,App,0
PREM_0027,2025-11-03,AirPods,Smartphones,169.56,Online,5
PREM_0028,2025-11-21,Mechanical Keyboard,Smartphones,490.04,Online,10
PREM_0028,2025-11-07,MacBook Pro,Laptops,332.74,Online,0
PREM_0028,2025-11-27,iPad,Laptops,363.88,Online,10
PREM_0028,2025-11-12,Monitor 4K,Gaming,721.4,Online,0
PREM_0028,2025-11-05,Smartphone Case,Accesorios,263.73,Online,5
PREM_0028,2025-11-18,Monitor 4K,Laptops,306.28,Online,0
PREM_0028,2025-12-08,Mechanical Keyboard,Gaming,217.99,Online,5
PREM_0028,2025-11-06,iPhone 14,Gaming,161.85,Online,0
PREM_0029,2025-11-29,Smartphone Case,Smartphones,297.53,App,0
PREM_0029,2025-12-01,Laptop Bag,Smartphones,481.84,Tienda,0
PREM_0029,2025-12-12,Laptop Bag,Smartphones,381.95,Online,5
PREM_0029,2025-12-12,Smartphone Case,Smartphones,528.38,Tienda,5
PREM_0029,2025-11-12,Mechanical Keyboard,Smartphones,273.93,Tienda,10
PREM_0029,2025-12-04,iPad,Smartphones,322.87,App,0
PREM_0029,2025-11-17,MacBook Pro,Smartphones,239.47,App,0
PREM_0029,2025-12-03,Gaming Mouse,Smartphones,265.77,Tienda,0
PREM_0029,2025-12-14,Smartphone Case,Accesorios,725.29,Tienda,5
PREM_0030,2025-12-11,AirPods,Smartphones,527.55,Online,0
PREM_0030,2025-11-24,Mechanical Keyboard,Laptops,210.14,Online,5
PREM_0030,2025-11-16,Mechanical Keyboard,Laptops,565.23,Online,0
PREM_0030,2025-11-29,Gaming Mouse,Smartphones,308.37,Online,0
PREM_0030,2025-11-10,Smartphone Case,Laptops,363.07,Online,10
PREM_0030,2025-12-09,Smartphone Case,Smartphones,156.87,Online,15
PREM_0030,2025-11-11,Mechanical Keyboard,Smartphones,345.65,Online,15
PREM_0030,2025-11-23,Mechanical Keyboard,Accesorios,639.91,Online,0
PREM_0030,2025-11-28,Smartphone Case,Laptops,292.49,App,15
PREM_0030,2025-12-03,Gaming Mouse,Smartphones,213.54,Online,5
PREM_0031,2025-11-23,Gaming Mouse,Smartphones,780.56,Online,15
PREM_0031,2025-11-17,MacBook Pro,Gaming,706.89,Online,0
PREM_0031,2025-11-28,Laptop Bag,Gaming,613.27,Online,10
PREM_0031,2025-11-30,MacBook Pro,Smartphones,210.42,Online,0
PREM_0031,2025-11-08,Smartphone Case,Gaming,501.26,Online,0
PREM_0031,2025-11-19,Mechanical Keyboard,Gaming,698.19,Online,0
PREM_0031,2025-11-11,Mechanical Keyboard,Gaming,697.6,Online,10
PREM_0031,2025-11-20,Laptop Bag,Gaming,549.32,Online,5
PREM_0031,2025-12-07,Laptop Bag,Laptops,617.1,Online,0
PREM_0032,2025-12-10,Webcam HD,Laptops,896.68,Online,0
PREM_0032,2025-12-06,iPhone 14,Laptops,475.17,Tienda,5
PREM_0032,2025-11-25,Laptop Bag,Gaming,851.96,Tienda,0
PREM_0032,2025-12-02,Gaming Mouse,Accesorios,742.79,Online,5
PREM_0032,2025-12-07,MacBook Pro,Accesorios,906.64,Tienda,5
PREM_0032,2025-11-16,Webcam HD,Laptops,451.45,Tienda,5
PREM_0032,2025-11-26,Monitor 4K,Laptops,487.36,Tienda,0
PREM_0032,2025-11-08,AirPods,Laptops,385.83,Online,0
PREM_0033,2025-11-23,iPad,Smartphones,453.66,Online,5
PREM_0033,2025-12-08,Gaming Mouse,Laptops,209.41,Online,10
PREM_0033,2025-12-02,Monitor 4K,Smartphones,204.78,Online,15
PREM_0033,2025-12-14,MacBook Pro,Smartphones,108.48,Online,5
PREM_0033,2025-11-15,MacBook Pro,Smartphones,180.51,Online,0
PREM_0033,2025-12-01,Mechanical Keyboard,Smartphones,211.41,Online,0
PREM_0033,2025-11-15,Gaming Mouse,Accesorios,300.29,Online,0
PREM_0033,2025-11-16,Monitor 4K,Gaming,279.43,Online,5
PREM_0033,2025-11-12,AirPods,Smartphones,392.32,Online,5
PREM_0033,2025-11-08,iPhone 14,Laptops,220.57,Online,0
PREM_0034,2025-12-11,MacBook Pro,Smartphones,354.11,Online,0
PREM_0034,2025-11-15,MacBook Pro,Gaming,241.76,Online,5
PREM_0034,2025-11-23,Webcam HD,Smartphones,396.42,Online,5
PREM_0034,2025-11-21,Laptop Bag,Smartphones,230.71,Online,10
PREM_0034,2025-11-23,Mechanical Keyboard,Gaming,370.29,App,0
PREM_0034,2025-12-09,iPad,Smartphones,116.32,Online,20
PREM_0034,2025-12-04,Webcam HD,Smartphones,482.21,Online,10
PREM_0034,2025-12-12,MacBook Pro,Gaming,308.06,App,5
PREM_0034,2025-11-25,Gaming Mouse,Accesorios,206.55,Online,0
PREM_0035,2025-11-06,Monitor 4K,Accesorios,168.98,Online,5
PREM_0035,2025-11-21,iPad,Accesorios,519.12,Online,0
PREM_0035,2025-11-21,Mechanical Keyboard,Accesorios,183.08,App,10
PREM_0035,2025-11-03,Monitor 4K,Accesorios,111.83,Online,5
PREM_0035,2025-11-08,Monitor 4K,Accesorios,180.86,Online,0
PREM_0035,2025-11-20,Mechanical Keyboard,Accesorios,133.0,Tienda,0
PREM_0035,2025-11-17,Webcam HD,Accesorios,145.2,Online,10
PREM_0035,2025-11-01,AirPods,Smartphones,153.46,Online,0
PREM_0035,2025-10-31,Monitor 4K,Smartphones,131.37,Online,0
PREM_0035,2025-11-30,MacBook Pro,Accesorios,190.05,Online,5
PREM_0036,2025-11-06,Gaming Mouse,Smartphones,365.75,Online,0
PREM_0036,2025-11-11,Smartphone Case,Accesorios,268.72,Tienda,0
PREM_0036,2025-11-22,Smartphone Case,Smartphones,178.73,Tienda,5
PREM_0036,2025-11-13,Laptop Bag,Smartphones,196.13,Tienda,0
PREM_0036,2025-11-21,Monitor 4K,Smartphones,337.47,Tienda,5
PREM_0036,2025-11-27,Webcam HD,Smartphones,184.48,Tienda,0
PREM_0036,2025-12-09,Webcam HD,Smartphones,496.54,Tienda,5
PREM_0036,2025-12-01,MacBook Pro,Smartphones,181.54,Tienda,10
PREM_0036,2025-11-18,Mechanical Keyboard,Smartphones,207.96,Tienda,10
PREM_0036,2025-11-16,Smartphone Case,Laptops,192.12,Tienda,0
PREM_0036,2025-11-20,AirPods,Laptops,229.71,Tienda,15
PREM_0036,2025-12-08,MacBook Pro,Smartphones,495.34,Tienda,0
PREM_0037,2025-12-09,Smartphone Case,Gaming,834.92,Tienda,10
PREM_0037,2025-11-28,Webcam HD,Gaming,323.13,Tienda,0
PREM_0037,2025-11-19,Smartphone Case,Gaming,1432.44,Online,0
PREM_0037,2025-11-16,MacBook Pro,Smartphones,519.41,Tienda,5
PREM_0037,2025-11-12,iPad,Smartphones,285.93,Tienda,5
PREM_0037,2025-12-02,MacBook Pro,Gaming,211.9,Tienda,10
PREM_0037,2025-11-16,Laptop Bag,Laptops,395.83,Tienda,0
PREM_0037,2025-11-29,MacBook Pro,Gaming,581.53,Tienda,0
PREM_0037,2025-11-24,Webcam HD,Smartphones,393.03,Tienda,15
PREM_0038,2025-12-13,Gaming Mouse,Accesorios,736.02,Online,15
PREM_0038,2025-11-10,Mechanical Keyboard,Smartphones,1090.19,Online,0
PREM_0038,2025-12-09,iPad,Laptops,1121.84,Tienda,5
PREM_0038,2025-11-18,Laptop Bag,Gaming,1443.21,Online,0
PREM_0038,2025-11-04,MacBook Pro,Gaming,551.31,Online,10
PREM_0038,2025-11-14,Smartphone Case,Accesorios,1054.12,Online,5
PREM_0038,2025-12-03,Gaming Mouse,Gaming,1470.53,Online,10
PREM_0039,2025-11-07,MacBook Pro,Smartphones,451.87,Online,0
PREM_0039,2025-12-06,Monitor 4K,Smartphones,451.07,Online,0
PREM_0039,2025-11-05,Gaming Mouse,Gaming,520.53,Online,10
PREM_0039,2025-12-13,iPhone 14,Smartphones,292.15,Online,0
PREM_0039,2025-11-13,Laptop Bag,Smartphones,830.54,Online,0
PREM_0039,2025-11-19,Webcam HD,Smartphones,282.76,Online,5
PREM_0039,2025-12-08,Mechanical Keyboard,Smartphones,302.51,Online,0
PREM_0039,2025-11-30,iPad,Smartphones,872.32,Online,15
PREM_0039,2025-11-05,Gaming Mouse,Accesorios,775.24,Online,5
PREM_0039,2025-11-16,Mechanical Keyboard,Smartphones,224.31,Online,5
PREM_0040,2025-11-30,AirPods,Smartphones,213.37,App,5
PREM_0040,2025-12-01,iPad,Smartphones,268.34,Tienda,0
PREM_0040,2025-12-01,iPad,Gaming,626.45,App,5
PREM_0040,2025-11-14,iPhone 14,Smartphones,520.58,App,0
PREM_0040,2025-11-16,Mechanical Keyboard,Smartphones,193.16,App,0
PREM_0040,2025-11-13,Webcam HD,Smartphones,419.04,Tienda,0
